2026-04-29 23:58:21 | INFO     | pipeline.rules | Rule-based extraction result: {'loss_type': 'theft', 'estimated_cost': None, 'severity': None, 'summary': None}
2026-04-29 23:58:22 | INFO     | pipeline.llm | Calling Gemini API for LLM extraction...
2026-04-29 23:58:22 | INFO     | google_genai.models | AFC is enabled with max remote calls: 10.
2026-04-29 23:58:22 | DEBUG    | httpcore.connection | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-04-29 23:58:22 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000019E44322990>
2026-04-29 23:58:22 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000019E442F8DD0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-04-29 23:58:22 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000019E442B1CD0>
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 429, b'Too Many Requests', [(b'X-Gemini-Service-Tier', b'standard'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Content-Encoding', b'gzip'), (b'Date', b'Wed, 29 Apr 2026 18:28:22 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=89'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-04-29 23:58:22 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 429 Too Many Requests"
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | response_closed.started
2026-04-29 23:58:22 | DEBUG    | httpcore.http11 | response_closed.complete
